날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2024-06-01",114,20.5,17.7,25.8
"	2024-06-02",114,19.1,14.5,25
"	2024-06-03",114,20.2,13.8,27.2
"	2024-06-04",114,20.7,12.3,28.3
"	2024-06-05",114,23.2,15.4,29.6
"	2024-06-06",114,22.5,18.5,29.4
"	2024-06-07",114,22.1,15.4,27.8
"	2024-06-08",114,20.4,17.7,23.8
"	2024-06-09",114,23.1,18.7,28.5
"	2024-06-10",114,24.5,17.8,30.1
"	2024-06-11",114,25.2,20.3,30.7
"	2024-06-12",114,25.8,18.5,32.7
"	2024-06-13",114,26.5,19.3,33.4
"	2024-06-14",114,27,20.3,33.2
"	2024-06-15",114,23.8,21.5,28
"	2024-06-16",114,24.3,20.5,29.4
"	2024-06-17",114,23.6,16.8,29.5
"	2024-06-18",114,25.4,17,32.5
"	2024-06-19",114,27.6,19.5,35.6
"	2024-06-20",114,27.5,21.3,34.1
"	2024-06-21",114,26.8,20,32.6
"	2024-06-22",114,23.4,22.2,25.8
"	2024-06-23",114,24.2,21.4,28.9
"	2024-06-24",114,24.9,20.5,30.4
"	2024-06-25",114,22.6,18.1,27.5
"	2024-06-26",114,23.8,17.6,29.8
"	2024-06-27",114,24,18.9,28.9
"	2024-06-28",114,25,18.5,31.6
"	2024-06-29",114,25.6,19.9,32.4
"	2024-06-30",114,25,23.3,26.8
"	2024-07-01",114,25.4,22.3,30
"	2024-07-02",114,23.4,21.5,26.4
"	2024-07-03",114,25.1,24.1,26.9
"	2024-07-04",114,27.2,23.6,30.2
"	2024-07-05",114,24.6,22.1,29.3
"	2024-07-06",114,26,21.2,31.4
"	2024-07-07",114,23.8,22.4,25.6
"	2024-07-08",114,23.8,22.3,25.3
"	2024-07-09",114,23.7,22.3,26.1
"	2024-07-10",114,25.5,21.4,31.9
"	2024-07-11",114,26.3,23.1,30.7
"	2024-07-12",114,26.1,23.5,30.3
"	2024-07-13",114,27.4,22.5,33.1
"	2024-07-14",114,26.5,22.8,30.8
"	2024-07-15",114,26.7,23,30.8
"	2024-07-16",114,26.1,23.3,30.9
"	2024-07-17",114,27,23.1,31
"	2024-07-18",114,25.3,23,28.2
"	2024-07-19",114,27,23.3,31.3
"	2024-07-20",114,27,23.9,30.3
"	2024-07-21",114,27.4,24.5,30.7
"	2024-07-22",114,28.6,25.7,30.9
"	2024-07-23",114,26.3,24.7,29.3
"	2024-07-24",114,26.2,22.1,31.6
"	2024-07-25",114,28.8,25.3,33.2
"	2024-07-26",114,29.4,24.8,33.9
"	2024-07-27",114,29.1,26.5,32.8
"	2024-07-28",114,28.8,25.2,33.1
"	2024-07-29",114,27.8,26.8,29.4
"	2024-07-30",114,27.4,25.8,30.1
"	2024-07-31",114,29.4,25.8,33.4
"	2024-08-01",114,29.6,27.2,32.8
"	2024-08-02",114,29.2,27.7,33.7
"	2024-08-03",114,30.1,27.2,34.5
"	2024-08-04",114,30.4,25.7,35
"	2024-08-05",114,29.3,23.6,34.7
"	2024-08-06",114,27.5,23.7,32.5
"	2024-08-07",114,28.4,24.6,32.6
"	2024-08-08",114,27,24.8,29.7
"	2024-08-09",114,28.8,25.3,33.6
"	2024-08-10",114,29,24.8,34.2
"	2024-08-11",114,29.4,26,33.9
"	2024-08-12",114,29.9,25.6,35.3
"	2024-08-13",114,28.6,25.4,34.4
"	2024-08-14",114,29,24.5,34.7
"	2024-08-15",114,28.8,26.1,33.6
"	2024-08-16",114,28.5,24.6,33.6
"	2024-08-17",114,28.5,24.9,33.5
"	2024-08-18",114,28.9,25.1,34.1
"	",,,,
